r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.312317, 0.206226, 0.893361, 255, 0, 85, 102
0.309608, 0.204010, 0.636954, 255, 0, 85, 102
0.306898, 0.201795, 0.362446, 255, 0, 170, 111
0.304189, 0.199580, 0.164601, 255, 0, 255, 121
0.320027, 0.202326, 1.000000, 255, 0, 0, 83
0.322737, 0.204542, 0.882134, 255, 0, 0, 73
0.325446, 0.206757, 0.605535, 255, 0, 0, 64
0.328156, 0.208972, 0.323454, 255, 0, 0, 64
0.317317, 0.200111, 0.889508, 255, 0, 0, 83
0.314608, 0.197895, 0.626035, 255, 0, 0, 92
0.311898, 0.195680, 0.348616, 255, 0, 85, 102
0.309189, 0.193464, 0.153601, 255, 0, 85, 102
0.325027, 0.196211, 1.000000, 255, 0, 0, 64
0.327737, 0.198426, 0.874018, 255, 0, 0, 64
0.330446, 0.200642, 0.583554, 255, 0, 0, 64
0.333156, 0.202857, 0.297634, 255, 0, 0, 64
0.322317, 0.193995, 0.882134, 255, 0, 0, 73
0.319608, 0.191780, 0.605535, 255, 0, 0, 83
0.316898, 0.189565, 0.323454, 255, 0, 0, 83
0.330027, 0.190096, 1.000000, 255, 0, 0, 64
0.332737, 0.192311, 0.869088, 255, 0, 0, 64
0.335446, 0.194526, 0.570500, 255, 0, 0, 64
0.338156, 0.196742, 0.282862, 255, 0, 0, 64
0.327317, 0.187880, 0.878175, 255, 0, 0, 64
0.324608, 0.185665, 0.594736, 255, 0, 0, 64
0.321898, 0.183449, 0.310620, 255, 0, 0, 73
0.335027, 0.183980, 1.000000, 255, 0, 0, 64
0.337737, 0.186196, 0.864467, 255, 0, 0, 64
0.340446, 0.188411, 0.558461, 255, 0, 0, 64
0.343156, 0.190627, 0.269609, 255, 0, 0, 64
0.332317, 0.181765, 0.874018, 255, 0, 0, 64
0.329608, 0.179549, 0.583554, 255, 0, 0, 64
0.326898, 0.177334, 0.297634, 255, 0, 0, 64
0.340027, 0.177865, 1.000000, 255, 0, 0, 64
0.342737, 0.180081, 0.854482, 255, 0, 0, 64
0.345446, 0.182296, 0.533102, 255, 0, 0, 64
0.348156, 0.184511, 0.242842, 255, 0, 0, 64
0.337317, 0.175650, 0.864467, 255, 0, 0, 64
0.334608, 0.173434, 0.558461, 255, 0, 0, 64
0.331898, 0.171219, 0.269609, 255, 0, 0, 64
0.345027, 0.171750, 1.000000, 255, 0, 0, 64
0.347737, 0.173965, 0.849084, 255, 0, 0, 64
0.350446, 0.176181, 0.519759, 255, 0, 0, 64
0.353156, 0.178396, 0.229379, 255, 0, 0, 64
0.342317, 0.169534, 0.859603, 255, 0, 0, 64
0.339608, 0.167319, 0.546000, 255, 0, 0, 64
0.336898, 0.165104, 0.256261, 255, 0, 0, 64
